fe_idx	fe_device_idx	fe_user_idx	fe_event_type	fe_event_value	fe_raw_data	fe_analysis_result	fe_timestamp
36315	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.981147390990174,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.981147390990174,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:16
36316	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5409804325186371,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5409804325186371,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:21
36317	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.417974087642904,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.417974087642904,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:21
36318	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.697400908095062,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.697400908095062,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:23
36319	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.990141356583365,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.990141356583365,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:24
36320	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5419232287592877,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5419232287592877,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:29
36321	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.438678583752846,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.438678583752846,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:29
36322	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.712687216679569,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.712687216679569,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:32
36323	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.992604510851891,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.992604510851891,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:32
36324	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.42870323620241,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.42870323620241,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:37
36325	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5416197337423796,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5416197337423796,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:39
36326	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.714123500731006,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.714123500731006,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:40
36327	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.984633550115376,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.984633550115376,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:41
36328	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.436504989344542,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.436504989344542,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:47
36329	2	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.990840952468545,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_right","label":"waiting","speed":0,"tilt":5.990840952468545,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:47
36330	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5393111688398164,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5393111688398164,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:47
36331	1	\N	acceleration	0	{"foot_type":"right","label":"waiting","speed":0,"tilt":5.730319689685842,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_right","label":"waiting","speed":0,"tilt":5.730319689685842,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:50
36332	2	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":10.40889255776861,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-2_left","label":"waiting","speed":0,"tilt":10.40889255776861,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:54
36333	1	\N	acceleration	0	{"foot_type":"left","label":"waiting","speed":0,"tilt":0.5382284269935838,"confidence":1,"probabilities":[0,0,0]}	{"channel":"SLOT-1_left","label":"waiting","speed":0,"tilt":0.5382284269935838,"confidence":1,"probabilities":[0,0,0]}	2026-01-08 09:18:55
